frame_id,x,y,z,yaw
501,-0.178661,-0.0452834,0.927069,3.08692
493,-0.186665,-0.0497747,1.05051,3.08964
497,-0.18288,-0.0473621,0.990476,3.08456
503,-0.177082,-0.0437145,0.895844,3.08596
499,-0.180481,-0.0461659,0.95936,3.08602
507,-0.174922,-0.0417704,0.835519,3.08662
508,-0.172587,-0.0413986,0.823688,3.08633
513,-0.167975,-0.0374168,0.739887,3.08784
526,-0.156903,-0.0315377,0.535172,3.0834
512,-0.169672,-0.038411,0.757665,3.08662
518,-0.164086,-0.0353226,0.664011,3.08832
559,-0.124941,-0.0151562,-0.000407338,3.0848
555,-0.12815,-0.0170869,0.0639552,3.08767
538,-0.145195,-0.025232,0.336446,3.08713
544,-0.140421,-0.0211618,0.237337,3.0887
533,-0.14996,-0.02787,0.420536,3.08511
550,-0.133905,-0.0185697,0.142209,3.08629
570,-0.112901,-0.00937226,-0.180417,3.09323
593,-0.0884811,0.0280549,-0.530588,3.08705
564,-0.119962,-0.0126006,-0.0839058,3.08957
580,-0.104571,-0.0047403,-0.337414,3.08967
594,-0.0884173,0.0141591,-0.571522,3.0837
604,-0.0779731,0.0155398,-0.733512,3.08835
615,-0.0679914,0.02019,-0.899244,3.09081
629,-0.0550904,0.0269731,-1.11927,3.08924
639,-0.0448437,0.0309388,-1.27651,3.08765
648,-0.0367511,0.0351187,-1.41613,3.08944
671,0.0270252,0.04334,-1.78491,3.08363
665,0.0120813,0.0407759,-1.68883,3.08696
661,0.00184097,0.0395451,-1.62557,3.08752
654,-0.0221585,0.036964,-1.51017,3.09005
657,-0.0112142,0.0380194,-1.56052,3.08954
655,-0.0182337,0.0373122,-1.52877,3.08919
652,-0.0275428,0.0366368,-1.48249,3.08998
658,-0.00774377,0.0382915,-1.57392,3.0888
656,-0.0154209,0.0376059,-1.54291,3.0892
659,-0.00367206,0.0385967,-1.59254,3.08815
667,0.0169506,0.0418478,-1.72298,3.08551
660,-0.00101858,0.0390532,-1.60659,3.08827
675,0.0366539,0.0448057,-1.84596,3.08358
681,0.0519661,0.0459632,-1.9413,3.08247
678,0.0441616,0.0458187,-1.89352,3.08204
687,0.0677277,0.0468613,-2.03845,3.08168
686,0.0649514,0.0462429,-2.02342,3.08298
684,0.0598578,0.0465694,-1.99133,3.08326
682,0.0546234,0.0461395,-1.95899,3.08273
688,0.0697416,0.0470382,-2.05167,3.08198
689,0.0727569,0.0470684,-2.07033,3.08413
691,0.0770822,0.0465259,-2.09734,3.08274
690,0.074474,0.046614,-2.08275,3.08415
693,0.082306,0.0467574,-2.13128,3.08283
694,0.0852292,0.0466939,-2.14906,3.08267
696,0.0901446,0.046497,-2.18033,3.08064
692,0.0801982,0.0471039,-2.11803,3.08388
700,0.100009,0.0469821,-2.24134,3.07441
695,0.0871896,0.046286,-2.16198,3.08101
699,0.0977111,0.0463809,-2.22643,3.07491
701,0.103569,0.047282,-2.26062,3.0781
698,0.0948233,0.0466505,-2.20801,3.07736
702,0.105581,0.0471805,-2.27464,3.07539
704,0.111602,0.0486673,-2.30888,3.07603
703,0.108969,0.0478359,-2.29373,3.07612
708,0.122285,0.0501991,-2.37317,3.07694
706,0.117081,0.0494169,-2.34108,3.07688
709,0.124455,0.0505336,-2.38675,3.0764
712,0.133924,0.0525428,-2.44114,3.07578
710,0.127783,0.0516073,-2.40604,3.07687
711,0.130243,0.0515613,-2.42092,3.07655
714,0.1397,0.0537545,-2.47509,3.07962
716,0.14547,0.0546123,-2.50846,3.08041
715,0.142969,0.054282,-2.49399,3.07951
718,0.151275,0.0555998,-2.54272,3.08059
717,0.149187,0.0551283,-2.52796,3.08084
724,0.176781,0.0579303,-2.63864,3.07882
720,0.157815,0.0562996,-2.57598,3.07934
721,0.162489,0.0566546,-2.59324,3.08067
722,0.166554,0.0572631,-2.6061,3.07974
723,0.172257,0.057416,-2.62411,3.0803
727,0.191648,0.059188,-2.68371,3.08033
726,0.187351,0.0588045,-2.67016,3.07974
730,0.208648,0.0600007,-2.72915,3.08001
728,0.198526,0.0594864,-2.70215,3.08079
725,0.181121,0.0583069,-2.65175,3.0797
733,0.228334,0.060186,-2.77589,3.08025
729,0.203491,0.059523,-2.71511,3.07989
735,0.239926,0.0602692,-2.80127,3.07595
734,0.234276,0.0599838,-2.78835,3.08037
740,0.277752,0.0599009,-2.87317,3.07679
742,0.29464,0.0602406,-2.90344,3.07605
741,0.284706,0.0600231,-2.8861,3.07581
744,0.308772,0.0603285,-2.92806,3.07716
745,0.318273,0.06016,-2.94366,3.07742
746,0.326028,0.0600026,-2.95608,3.07634
751,0.370962,0.0594854,-3.02104,3.06971
755,0.407117,0.0576192,-3.06979,3.06923
754,0.398453,0.0576934,-3.05877,3.06702
772,0.626467,0.063745,-3.2902,3.05857
763,0.515371,0.0656213,-3.19403,3.06739
776,0.679666,0.0637977,-3.32987,3.05872
768,0.574156,0.0644702,-3.24784,3.06321
766,0.549171,0.0653133,-3.22599,3.06477
775,0.667765,0.0635682,-3.32099,3.05856
774,0.651135,0.0637799,-3.30895,3.05715
787,0.828722,0.0701572,-3.45747,3.06233
785,0.802882,0.0691298,-3.43456,3.06021
801,1.009,0.0676513,-3.60876,3.0599
794,0.918196,0.0681768,-3.53241,3.06175
796,0.942829,0.0677911,-3.55326,3.06081
798,0.967536,0.0674956,-3.57379,3.0579
802,1.01915,0.0668995,-3.61773,3.0596
